Název položky;Popis / Poznámky;Referenční meze / Norma
Celkový dojem (Habitus);Stavba těla, výživa, poloha, chůze, úprava.;Normostenický, volně pohyblivý, spolupracující.
Vědomí a orientace;Orientace osobou, místem, časem. Spolupráce.;Při vědomí, orientován (GCS 15).
Kůže a hydratace;Barva (cyanóza, ikterus, bledost), turgor, teplota, jizvy, eflorescence, vstupy (kanyly).;Růžová, teplá, turgor normální, bez eflorescencí.
Hlava - Oči;Zornice (izokorie, fotoreakce), nystagmus, skléry, spojivky, postavení bulbů.;Zornice izokorické, fotoreakce +, bez nystagmu.
Hlava - Ústa/Tvář;Jazyk (plazí středem, povlak), inervace n. VII (symetrie), hrdlo, chrup/protéza.;Hrdlo klidné, jazyk vlhký, plazí středem, inervace symetrická.
Krk;Náplň krčních žil, štítná žláza, pulzace karotid, uzliny, pohyblivost (opozice šíje).;Žíly v niveau, šíje volná, karotidy symetrické, bez šelestu.
Hrudník - Plíce;Dechové fenomény (chrůpky, pískoty), dýchání (sklípkové/čisté), symetrie pohybů.;Dýchání alveolární, čisté, bez vedlejších fenoménů.
Hrudník - Srdce;Srdeční akce (pravidelnost), ozvy (ohraničení), šelesty.;Akce pravidelná, ozvy 2 ohraničené, bez šelestů.
Břicho;Úroveň, pohmat (měkké/tvrdé), bolestivost, peristaltika, játra/slezina, tapottement.;Měkké, prohmatné, nebolestivé, peristaltika +, Tapottement neg.
Vylučování (Moč/Stolice);Moč (barva, množství, dysurie), Stolice (pravidelnost, konzistence, příměs krve/meléna).;Močení volné bez obtíží, stolice formovaná hnědá.
Končetiny (DK/HK);Otoky, varixy, prokrvení (akra), pulzace (a. radialis/dorsalis pedis), známky TEN (Homans).;Bez otoků, pulzace hmatné do periferie, akra teplá.
Neurologie (hrubá);Hybnost, citlivost, reflexy, meningeální příznaky.;Hybnost symetrická, bez paréz, čití zachováno.
